Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2022;0;24,6;24,9;23,9;83;88;83;21,6;22,1;21,5;1004,9;1004,9;1004,5;1,1;56;5,2;;0
01/01/2022;100;24,5;24,7;24,4;83;84;82;21,4;21,6;21,4;1005,2;1005,2;1004,9;1;114;4;;0
01/01/2022;200;24,2;24,5;24;83;85;83;21,2;21,4;21,2;1005,3;1005,6;1005,2;1,7;98;5,4;;0,2
01/01/2022;300;24,2;24,4;23,8;82;84;82;20,9;21,2;20,9;1004,1;1005,3;1004,1;1,5;93;5,4;;0,2
01/01/2022;400;23,9;24,3;23,6;82;83;81;20,7;20,9;20,5;1003,8;1004,1;1003,4;2,7;91;5;;0
01/01/2022;500;23,4;24,2;23,4;86;86;77;20,9;20,9;19,9;1004,1;1004,2;1003,8;1,6;302;5;;0
01/01/2022;600;22,6;23,4;22,3;88;90;86;20,6;20,9;20,4;1003,7;1004,1;1003,7;1,6;327;3,1;;0,8
01/01/2022;700;22,6;22,8;22,4;89;89;86;20,6;20,7;20,2;1004;1004;1003,6;1,8;302;3,2;;0
01/01/2022;800;22,6;22,8;22,6;88;89;86;20,4;20,6;20,3;1003,9;1004,1;1003,8;2,2;6;3,3;;0,6
01/01/2022;900;22,4;23,1;22,3;90;90;86;20,8;20,8;20,2;1004,3;1004,4;1003,9;1,7;64;3,2;18,1;0
01/01/2022;1000;23,6;23,6;22,4;87;91;87;21,3;21,3;20,6;1004,7;1004,8;1004,3;1;33;3,2;169,1;0
01/01/2022;1100;23,6;23,9;23,5;89;89;87;21,7;22,1;21,4;1005,1;1005,2;1004,7;0,4;192;3;329,2;0
01/01/2022;1200;24,5;24,8;23,5;87;90;86;22,2;22,5;21,6;1005,5;1005,7;1005,1;0,6;106;2,5;580,4;0
01/01/2022;1300;26;26,1;24,4;75;87;74;21,2;22,7;20,8;1005,8;1005,8;1005,5;1,8;59;3,3;932,7;0
01/01/2022;1400;24,6;26,1;24,4;85;85;74;21,8;22;20,9;1005,9;1005,9;1005,8;2,1;287;3,8;1121;0
01/01/2022;1500;24,9;24,9;24,1;84;86;83;21,9;22;21,3;1005,5;1005,9;1005,5;1;258;3,6;1227,6;0
01/01/2022;1600;24,6;26;24,5;84;84;79;21,7;22,7;21,4;1005,2;1005,5;1005,2;1,5;269;3,3;1339,6;0,2
01/01/2022;1700;26,4;26,4;24,5;81;84;80;22,9;22,9;21,6;1004,9;1005,2;1004,9;1,7;88;3,4;1738,5;0
01/01/2022;1800;25,8;26,7;25,3;82;84;79;22,6;23,4;22,1;1004,4;1004,9;1004,4;1,2;113;2,9;1466,9;0
01/01/2022;1900;26,7;27,4;25,8;76;84;75;22;23,6;22;1004;1004,4;1004;2,5;100;5,5;1620;0
